Number,FavoriteLunchroom,ID,RealNumber
133,MeatUp,335,50524
134,定食8,336,50525
135,定食8,337,50526
136,定食8,338,50601
137,爭鮮迴轉壽司,339,50602
138,,340,50603
139,爭鮮迴轉壽司,341,50604
140,小菜館韓式拌飯,342,50605
141,Chipotle,343,50606
142,福勝亭,344,50607
143,福勝亭,345,50608
144,福勝亭,346,50609
145,小菜館韓式拌飯,347,50610
146,新鮮豆漿店,348,50611
147,,349,50612
148,MeatUp,350,50613
149,爭鮮迴轉壽司,351,50614
150,定食8,352,50615
151,定食8,353,50616
152,小菜館韓式拌飯,354,50617
153,Chipotle,355,50618
154,福勝亭,356,50619
155,小菜館韓式拌飯,357,50620
156,MeatUp,358,50621
157,定食8,359,50622
158,爭鮮迴轉壽司,360,50623
159,,361,50624
160,福勝亭,362,50625
161,定食8,363,50626
162,MeatUp,364,50627
163,MeatUp,365,50701
164,福勝亭,366,50702
165,爭鮮迴轉壽司,367,50703
166,,368,50704
167,新鮮豆漿店,369,50705
168,新鮮豆漿店,370,50706
169,,371,50707
170,定食8,372,50708
171,,373,50709
172,,374,50710
173,,375,50711
174,福勝亭,376,50712
175,MeatUp,377,50713
176,MeatUp,378,50714
177,定食8,379,50715
178,,380,50716
179,新鮮豆漿店,381,50717
180,Chipotle,382,50718
181,,383,50719
182,新鮮豆漿店,384,50720
183,新鮮豆漿店,385,50721
184,Chipotle,386,50722
185,,387,50723
186,,388,50724
187,定食8,389,50725
188,MeatUp,390,50726
189,MeatUp,391,50727
190,Chipotle,392,50728
191,新鮮豆漿店,393,50801
192,銀座杏子豬排,394,50802
193,,395,50803
194,福勝亭,393,50804
195,,397,50805
196,鬥牛士,398,50806
197,定食8,399,50807
198,小菜館韓式拌飯,400,50808
199,新鮮豆漿店,401,50809
200,小菜館韓式拌飯,402,50810
201,爭鮮迴轉壽司,403,50811
202,小菜館韓式拌飯,404,50812
203,定食8,405,50813
204,小菜館韓式拌飯,406,50814
205,爭鮮迴轉壽司,407,50815
206,Chipotle,408,50816
207,Chipotle,409,50817
208,Chipotle,410,50818
209,Chipotle,411,50819
210,銀座杏子豬排,412,50820
211,福勝亭,413,50821
212,福勝亭,414,50822
213,福勝亭,415,50823
214,福勝亭,416,50824
215,定食8,417,50825
216,Chipotle,418,50826
217,,419,50827
218,爭鮮迴轉壽司,420,50901
219,Chipotle,421,50902
220,芳德豬肉冬粉,422,50903
221,福勝亭,423,50904
222,小菜館韓式拌飯,424,50905
223,爭鮮迴轉壽司,425,50906
224,,426,50907
225,爭鮮迴轉壽司,427,50908
226,Chipotle,428,50909
227,Chipotle,429,50910
228,Chipotle,430,50911
229,爭鮮迴轉壽司,431,50912
230,定食8,432,50913
231,新鮮豆漿店,433,50914
232,,434,50915
233,新鮮豆漿店,435,50916
234,爭鮮迴轉壽司,436,50917
235,福勝亭,437,50918
236,福勝亭,438,50919
237,Chipotle,439,50920
238,新鮮豆漿店,440,50921
239,福勝亭,441,50922
240,,442,50923
241,Chipotle,443,50924
242,小菜館韓式拌飯,444,50925
243,小菜館韓式拌飯,445,50926
244,福勝亭,446,50927
245,Chipotle,447,51001
246,小菜館韓式拌飯,448,51002
247,福勝亭,449,51003
248,爭鮮迴轉壽司,450,51004
249,MeatUp,451,51005
250,福勝亭,452,51006
251,Chipotle,453,51007
252,Chipotle,454,51008
253,鬥牛士,455,51009
254,鬥牛士,456,51010
255,Chipotle,457,51011
256,福勝亭,458,51012
257,Chipotle,459,51013
258,Chipotle,460,51014
259,小菜館韓式拌飯,461,51015
260,福勝亭,462,51016
261,焦糖冷滷味,463,51017
262,焦糖冷滷味,464,51018
263,小菜館韓式拌飯,465,51019
264,爭鮮迴轉壽司,466,51020
265,福勝亭,467,51021
266,小菜館韓式拌飯,468,51022
267,Chipotle,469,51023
268,Chipotle,470,51024
269,銀座杏子豬排,471,51025
270,銀座杏子豬排,472,51026
271,,473,51027
272,MeatUp,474,51028
273,MeatUp,475,51101
274,新鮮豆漿店,476,51102
275,焦糖冷滷味,477,51103
276,爭鮮迴轉壽司,478,51104
277,新鮮豆漿店,479,51105
278,新鮮豆漿店,480,51106
279,Chipotle,481,51107
280,Chipotle,482,51108
281,福勝亭,483,51109
282,銀座杏子豬排,484,51110
283,,485,51111
284,小菜館韓式拌飯,486,51112
285,,487,51113
286,Chipotle,488,51114
287,小菜館韓式拌飯,489,51115
288,福勝亭,490,51116
289,爭鮮迴轉壽司,461,51117
290,Chipotle,492,51118
291,鬥牛士,493,51119
292,新鮮豆漿店,494,51120
293,Chipotle,495,51121
294,銀座杏子豬排,496,51122
295,新鮮豆漿店,497,51123
296,Chipotle,498,51124
297,新鮮豆漿店,499,51125
298,福勝亭,500,51126
299,福勝亭,501,51127
