Yr Mo Dy RPT ROS KIL DUB CLA MGR MAL
36 6 1 17.2 15.4 17.8 11.0 7.0 3.4 13.2
36 6 2 10.6 11.8 13.4 18.2 3.4 14.4 9.2
36 6 3 16.8 11.4 18.2 10.6 0.8 19.4 18.2
36 6 4 1.4 7.8 1.8 19.2 0.4 10.6 10.6
36 6 5 6.4 18.8 12.8 2.0 13.4 4.6 10.4
36 6 6 5.0 3.4 19.4 2.0 14.4 2.2 8.8
36 6 7 7.8 17.4 13.0 3.6 16.0 11.8 7.2
36 6 8 10.6 0.4 19.0 17.4 18.4 16.0 14.8
36 6 9 7.2 1.0 17.4 15.8 15.0 9.0 14.0
36 6 10 3.0 15.0 2.6 12.8 7.2 14.8 19.0
36 6 11 1.0 0.0 7.6 6.6 7.4 1.0 2.2
36 6 12 9.2 15.2 19.6 4.6 14.8 8.8 9.6
36 6 13 3.4 16.4 0.6 1.6 13.6 18.8 19.4
36 6 14 18.0 1.0 14.6 16.2 0.4 6.0 10.2
36 6 15 9.4 2.0 9.0 17.8 12.4 15.8 0.6
36 6 16 17.6 1.0 4.0 13.4 14.2 19.0 3.4
36 6 17 9.6 4.0 11.6 11.8 18.8 2.6 1.6
36 6 18 11.6 19.8 7.2 6.4 0.8 9.8 12.2
36 6 19 14.2 12.2 6.0 6.2 11.2 19.2 19.8
36 6 20 0.4 18.2 14.2 0.8 10.6 10.4 4.8
36 6 21 0.8 17.0 18.8 2.2 11.6 16.8 19.6
36 6 22 10.2 10.2 5.0 3.0 5.2 6.8 11.2
36 6 23 14.8 16.0 0.8 6.2 8.2 5.0 3.0
36 6 24 1.8 2.6 1.6 19.6 9.0 1.0 8.4
36 6 25 18.6 8.8 10.8 10.6 19.8 1.6 18.8
36 6 26 9.6 0.4 12.0 4.0 6.8 14.2 7.2
36 6 27 17.2 3.6 2.0 4.0 3.0 16.8 17.6
36 6 28 15.0 9.8 15.6 15.2 18.4 12.8 4.6
36 6 29 19.0 15.6 15.0 18.0 1.2 12.8 8.2
36 6 30 9.0 16.8 17.8 16.4 16.6 3.0 2.8
36 7 1 6.4 8.2 9.0 19.4 6.6 3.2 3.4
36 7 2 2.0 2.8 13.4 17.6 9.6 9.6 19.0
36 7 3 18.2 3.6 0.2 16.6 1.4 13.2 3.2
36 7 4 2.4 17.6 8.4 16.0 1.8 3.0 3.6
36 7 5 11.0 16.4 4.6 4.0 7.8 0.4 0.0
36 7 6 7.8 13.2 7.6 13.2 6.0 19.6 15.2
36 7 7 6.8 5.4 9.6 4.4 14.6 3.8 13.6
36 7 8 0.8 8.0 3.0 1.4 3.0 1.2 16.0
36 7 9 2.2 11.4 16.0 18.2 3.0 8.0 5.8
36 7 10 6.6 19.2 15.8 6.4 13.8 11.8 1.4
36 7 11 7.8 17.6 7.8 17.0 16.8 10.8 15.6
36 7 12 14.6 15.2 11.0 14.0 3.6 19.8 11.8
36 7 13 6.6 8.2 15.8 5.8 6.2 14.8 15.4
36 7 14 12.0 13.4 1.8 9.8 19.4 7.4 19.2
36 7 15 4.4 19.4 3.2 16.6 13.2 0.4 7.2
36 7 16 10.2 10.8 19.2 1.0 7.2 11.2 17.8
36 7 17 19.0 2.4 16.8 3.0 10.8 5.2 12.4
36 7 18 8.4 10.8 13.2 4.2 19.2 19.2 5.2
36 7 19 3.2 5.0 5.2 8.4 8.0 5.0 2.8
36 7 20 2.6 0.8 9.6 0.6 11.6 2.4 10.8
36 7 21 9.8 2.4 9.0 20.0 4.0 5.4 8.4
36 7 22 6.8 0.4 19.6 12.6 8.2 14.8 7.6
36 7 23 11.4 5.0 9.6 14.0 1.6 15.8 10.4
36 7 24 6.6 11.0 7.6 0.6 16.2 11.6 11.6
36 7 25 16.6 3.2 4.6 13.6 16.8 15.6 4.6
36 7 26 9.2 3.2 17.0 17.8 14.8 17.0 0.0
36 7 27 13.4 18.0 17.8 19.8 8.4 3.0 5.2
36 7 28 7.8 16.4 19.0 14.6 2.2 12.8 16.8
36 7 29 6.8 7.6 12.8 4.6 3.0 19.0 8.2
36 7 30 9.4 15.8 3.2 8.6 4.0 6.6 2.8
36 7 31 18.0 6.4 18.8 19.6 14.4 7.2 0.8
36 8 1 9.2 2.6 7.0 3.8 19.4 17.6 1.2
36 8 2 11.8 4.6 15.0 12.2 18.8 17.2 8.8
36 8 3 8.8 20.0 0.2 18.2 7.4 17.6 0.4
36 8 4 12.0 14.2 3.8 8.2 19.8 14.6 16.8
36 8 5 4.8 8.0 18.6 7.2 16.4 17.8 2.4
36 8 6 8.4 17.8 15.0 1.6 8.8 10.0 20.0
36 8 7 16.4 13.8 14.6 14.0 18.2 8.8 0.2
36 8 8 10.4 10.0 10.8 13.8 5.4 4.0 10.0
36 8 9 8.2 4.4 16.4 2.6 5.0 8.0 10.8
36 8 10 4.2 10.4 7.2 8.2 8.2 10.2 5.4
36 8 11 16.0 4.0 4.6 0.4 14.8 4.0 0.0
36 8 12 3.6 2.4 6.4 1.0 7.0 4.2 2.0
36 8 13 16.0 7.8 7.2 18.8 19.0 8.4 15.4
36 8 14 19.0 19.2 4.8 14.4 13.6 17.0 12.4
36 8 15 2.6 4.6 9.0 12.0 12.8 1.6 9.0
36 8 16 1.8 2.6 12.4 0.4 12.8 11.8 12.4
36 8 17 7.4 2.2 18.6 15.8 15.8 6.0 9.2
36 8 18 6.8 5.2 4.2 5.4 12.6 10.4 12.0
36 8 19 9.0 4.6 12.8 0.8 9.6 15.4 18.2
36 8 20 0.6 0.0 9.6 13.8 6.2 4.0 5.8
36 8 21 2.2 6.2 13.2 1.4 8.6 8.4 17.8
36 8 22 5.6 7.6 14.8 9.6 14.4 6.4 18.8
36 8 23 17.4 11.0 19.8 10.2 3.8 4.0 15.6
36 8 24 2.6 18.6 18.8 4.2 11.2 10.8 3.4
36 8 25 18.2 18.2 16.0 15.2 11.2 1.6 1.8
36 8 26 4.6 6.6 15.0 16.4 1.0 19.4 1.2
36 8 27 16.4 3.2 9.6 12.0 5.4 6.0 17.0
36 8 28 8.0 6.6 1.8 2.4 8.8 17.4 15.6
36 8 29 1.2 16.0 1.8 4.2 14.6 16.4 12.2
36 8 30 4.2 4.6 8.2 16.0 4.6 5.6 9.4
36 8 31 11.2 10.8 19.8 13.4 1.6 0.2 6.0
36 9 1 10.8 2.4 6.4 1.2 17.4 5.0 10.0
36 9 2 12.0 8.4 2.6 15.2 2.2 1.2 6.2
36 9 3 12.8 6.0 11.4 3.4 8.0 15.8 3.4
36 9 4 15.8 9.4 18.2 14.8 1.2 9.2 0.4
36 9 5 7.8 18.6 13.6 3.2 6.0 4.6 8.6
36 9 6 12.8 17.4 18.6 13.2 20.0 3.6 19.0
36 9 7 19.0 8.0 0.8 5.2 11.6 2.2 18.0
36 9 8 16.2 4.8 18.2 4.2 11.6 11.8 2.2
36 9 9 14.0 3.6 11.2 3.6 18.2 7.8 12.0
36 9 10 12.0 15.4 9.8 15.2 18.0 17.2 1.8
36 9 11 17.0 9.0 15.6 8.4 15.2 1.4 8.6
36 9 12 0.6 13.2 8.2 4.8 3.2 18.2 11.0
36 9 13 5.2 2.8 3.8 9.2 8.8 6.0 9.8
36 9 14 11.6 19.4 8.4 8.6 6.6 5.0 12.8
36 9 15 9.4 16.2 13.0 7.8 0.0 7.8 20.0
36 9 16 12.2 8.2 19.6 6.2 11.8 19.6 6.6
36 9 17 13.0 11.4 8.6 12.8 12.0 13.6 18.6
36 9 18 14.8 4.6 18.0 17.4 9.8 13.0 11.8
36 9 19 13.4 3.2 12.4 1.4 13.6 3.8 20.0
36 9 20 2.2 8.2 15.2 9.4 1.2 5.0 14.0
36 9 21 6.0 13.4 6.4 16.6 13.4 9.0 5.6
36 9 22 4.2 13.2 0.0 2.0 7.0 10.2 6.8
36 9 23 15.2 5.0 12.6 18.6 13.6 18.8 17.6
36 9 24 6.6 15.8 3.6 16.0 10.2 16.2 16.0
36 9 25 11.4 10.8 16.4 17.2 11.8 5.0 5.2
36 9 26 15.6 3.6 2.6 0.6 9.8 13.6 7.2
36 9 27 13.4 16.6 17.0 10.8 8.4 5.0 14.0
36 9 28 8.0 6.0 11.0 17.2 15.0 17.4 13.2
36 9 29 8.0 5.2 5.0 8.4 5.2 18.0 6.8
36 9 30 11.2 11.8 2.4 3.2 13.4 0.0 0.8
36 10 1 13.8 2.2 10.4 1.0 13.4 16.8 1.6
36 10 2 12.2 6.0 7.8 5.8 18.4 5.2 11.2
36 10 3 14.6 12.0 8.4 17.4 2.2 17.2 11.8
36 10 4 8.0 16.4 12.6 6.2 11.6 19.2 17.4
36 10 5 15.6 10.0 19.6 18.6 4.2 16.8 15.8
36 10 6 15.6 1.6 18.2 10.8 11.8 7.0 16.0
36 10 7 8.4 18.2 17.2 2.8 9.4 16.4 16.4
36 10 8 13.2 8.4 9.2 10.4 0.2 12.0 12.2
36 10 9 14.6 0.4 9.4 15.4 13.0 19.4 1.2
36 10 10 2.4 18.8 17.2 11.8 13.2 4.6 19.6
36 10 11 13.2 5.6 12.4 19.8 20.0 2.8 7.8
36 10 12 12.8 5.0 12.0 15.6 4.4 13.0 18.0
36 10 13 16.2 19.2 16.6 0.0 14.8 12.0 3.8
36 10 14 15.2 13.6 19.6 7.2 14.2 4.6 13.4
36 10 15 9.8 3.0 16.8 8.2 7.6 6.8 14.8
36 10 16 6.6 10.8 17.2 1.8 20.0 8.8 19.6
36 10 17 10.4 12.8 4.2 19.6 12.4 8.2 16.0
36 10 18 10.8 17.6 13.6 1.6 8.2 12.4 12.8
36 10 19 7.2 6.8 9.4 18.6 14.4 5.2 0.8
36 10 20 15.8 9.0 14.2 4.8 1.0 17.0 7.2
36 10 21 11.8 18.6 5.8 18.0 0.4 3.6 5.8
36 10 22 8.2 14.4 7.4 4.0 18.6 19.6 7.0
36 10 23 18.4 5.8 15.2 7.2 0.8 11.2 1.0
36 10 24 10.2 10.4 1.8 11.0 3.8 18.6 0.4
36 10 25 2.0 2.0 0.2 9.4 16.8 18.0 13.8
36 10 26 14.6 9.8 5.0 12.8 10.8 11.0 4.6
36 10 27 13.2 6.6 15.8 11.0 6.0 13.4 11.2
36 10 28 17.4 18.8 20.0 4.0 16.0 5.6 2.6
36 10 29 5.6 5.8 1.6 19.0 6.0 8.2 16.4
36 10 30 16.2 9.6 17.2 19.6 19.4 10.4 4.8
36 10 31 11.4 0.6 0.2 15.4 2.2 19.6 2.2
36 11 1 10.4 19.4 7.4 1.4 19.0 4.8 5.4
36 11 2 7.6 3.4 6.6 1.8 2.2 13.8 19.0
36 11 3 3.2 12.2 15.8 0.2 14.4 8.2 11.6
36 11 4 19.4 5.2 15.4 14.0 2.8 10.6 12.4
36 11 5 3.4 7.6 18.0 9.6 19.4 7.0 16.0
36 11 6 18.0 0.4 9.0 4.0 4.8 9.2 16.0
36 11 7 19.6 12.4 4.0 16.6 2.0 19.8 10.8
36 11 8 1.0 14.4 6.6 2.2 17.4 16.2 1.2
36 11 9 16.2 4.6 1.6 1.2 4.2 17.4 16.2
36 11 10 4.8 19.0 10.6 16.4 3.6 11.6 1.2
36 11 11 14.2 11.6 5.4 1.0 16.2 15.2 5.2
36 11 12 0.0 7.0 18.2 7.8 13.2 18.2 18.8
36 11 13 0.8 4.0 14.2 7.4 3.2 2.2 16.8
36 11 14 1.6 2.4 2.0 20.0 8.2 15.0 15.4
36 11 15 10.6 5.8 19.8 15.4 11.8 10.2 0.6
36 11 16 5.0 6.6 16.0 5.6 13.6 14.4 14.8
36 11 17 8.6 10.0 5.6 14.8 5.2 19.0 4.0
36 11 18 10.4 14.0 7.8 7.8 18.0 15.8 16.8
36 11 19 13.2 11.6 9.0 17.8 6.8 19.2 8.0
36 11 20 12.2 8.8 9.2 11.2 13.0 4.0 16.6
36 11 21 16.0 3.4 9.6 6.0 2.8 5.0 15.2
36 11 22 4.0 18.0 11.0 9.2 0.4 7.4 10.6
36 11 23 15.6 15.0 10.0 10.4 15.0 14.4 15.4
36 11 24 19.2 11.2 12.8 6.4 1.8 17.6 7.2
36 11 25 11.2 8.2 8.2 13.0 10.4 7.8 6.6
36 11 26 2.4 10.2 3.2 3.2 9.0 1.0 2.4
36 11 27 17.6 9.2 18.2 2.2 9.4 19.4 12.8
36 11 28 12.4 14.2 2.2 6.2 7.4 12.0 19.2
36 11 29 7.0 8.2 3.6 3.4 6.8 2.4 5.6
36 11 30 17.0 9.4 0.6 14.0 15.4 10.2 1.6
36 12 1 11.4 8.0 0.2 5.4 16.0 10.2 11.8
36 12 2 19.6 2.2 9.4 7.6 14.0 13.6 13.8
36 12 3 10.2 14.6 10.2 6.2 18.2 14.8 2.2
36 12 4 5.4 4.0 8.0 15.4 12.2 16.8 10.2
36 12 5 1.8 11.8 3.2 17.2 6.6 6.4 13.8
36 12 6 9.6 6.0 13.2 8.8 4.2 13.8 19.4
36 12 7 5.2 1.2 18.6 18.0 8.8 19.4 1.0
36 12 8 5.6 11.8 15.4 6.4 9.2 0.4 6.0
36 12 9 3.2 0.0 5.0 11.0 18.8 7.6 12.8
36 12 10 4.2 12.8 14.0 19.4 1.2 18.0 11.0
36 12 11 7.6 5.8 15.0 16.0 13.0 3.2 10.4
36 12 12 14.0 16.6 5.0 18.2 7.8 3.6 16.2
36 12 13 7.4 9.0 0.2 0.6 10.8 15.8 14.2
36 12 14 17.0 12.6 16.4 18.6 3.4 1.6 4.8
36 12 15 6.8 7.8 1.2 18.0 16.2 5.0 3.2
36 12 16 16.8 5.2 8.0 11.0 19.6 12.6 5.4
36 12 17 17.2 12.4 4.0 9.0 11.6 18.2 18.2
36 12 18 4.4 5.4 1.6 4.4 14.0 17.6 19.4
36 12 19 3.8 10.8 2.8 2.0 19.6 18.6 8.0
36 12 20 8.2 15.4 20.0 12.0 8.4 18.8 17.8
36 12 21 10.6 5.4 7.2 16.4 7.8 1.2 16.2
36 12 22 14.6 6.4 16.4 15.0 16.0 14.0 9.0
36 12 23 6.4 16.4 7.0 18.8 13.0 18.2 10.6
36 12 24 2.2 3.4 16.8 10.4 6.2 13.4 8.4
36 12 25 15.8 11.6 3.2 3.2 2.4 18.0 19.0
36 12 26 10.0 13.0 11.2 15.6 15.6 5.4 16.2
36 12 27 19.6 9.6 14.8 6.4 9.0 3.6 5.2
36 12 28 7.0 8.2 13.6 6.8 1.4 11.4 6.6
36 12 29 17.8 19.2 11.4 1.2 7.6 18.8 13.4
36 12 30 18.2 19.2 12.2 5.0 12.4 2.4 11.2
36 12 31 8.2 13.2 6.8 9.2 12.8 7.4 14.2
37 1 1 16.8 4.0 17.2 8.6 11.2 17.4 15.2
37 1 2 12.4 5.8 19.8 7.8 15.2 5.8 10.0
37 1 3 3.6 11.4 16.0 0.8 6.0 16.8 12.6
37 1 4 1.4 18.0 14.2 17.8 0.4 12.2 19.0
37 1 5 18.4 17.6 8.2 14.8 10.8 9.2 7.0
37 1 6 2.2 12.6 6.4 5.0 4.0 1.6 0.2
37 1 7 19.8 7.8 2.6 9.8 7.2 12.6 12.2
37 1 8 15.2 0.8 0.4 8.0 1.8 19.6 3.6
37 1 9 11.2 17.4 19.2 2.6 6.2 4.8 4.4
37 1 10 6.4 3.2 17.6 15.6 12.4 2.0 6.6
37 1 11 15.0 12.4 4.0 3.2 5.4 7.8 4.0
37 1 12 7.8 17.8 5.2 6.2 14.8 10.2 12.8
37 1 13 5.8 4.0 13.2 17.6 13.8 3.6 19.6
37 1 14 1.2 6.6 17.8 8.0 20.0 10.8 6.6
37 1 15 12.2 7.8 16.8 7.2 16.2 10.6 3.6
37 1 16 3.8 12.4 11.2 6.0 13.4 3.2 0.0
37 1 17 5.2 9.4 6.2 18.8 17.0 19.2 7.2
37 1 18 6.0 13.4 18.6 16.4 17.0 5.0 1.0
37 1 19 6.6 19.2 10.4 11.0 19.4 18.2 11.6
37 1 20 5.0 12.0 9.6 6.2 8.8 6.4 10.6
37 1 21 10.4 16.0 5.4 19.8 7.0 2.8 4.8
37 1 22 0.4 5.4 5.2 5.6 5.4 3.2 16.2
37 1 23 7.8 7.2 9.8 8.6 2.0 18.4 7.6
37 1 24 13.0 6.4 8.6 11.2 2.0 19.2 12.4
37 1 25 18.6 6.8 17.2 9.0 4.4 19.8 8.6
37 1 26 6.0 14.0 16.4 7.0 10.8 2.0 11.2
37 1 27 16.0 13.2 18.4 19.2 0.2 9.0 20.0
37 1 28 15.6 13.8 0.4 9.6 14.8 8.8 2.8
37 1 29 0.0 18.8 19.6 9.8 15.4 14.0 13.0
37 1 30 12.0 15.6 6.6 3.8 7.4 0.0 6.2
37 1 31 1.6 15.4 16.4 16.4 4.2 7.6 19.6
37 2 1 8.8 8.2 15.4 4.2 2.0 10.0 16.0
37 2 2 14.4 13.0 3.2 6.4 9.8 3.8 7.0
37 2 3 3.6 16.0 18.8 7.0 14.8 6.8 10.0
37 2 4 8.8 5.4 5.4 15.8 19.8 14.0 6.2
37 2 5 10.4 7.0 3.6 7.8 11.0 16.8 18.0
37 2 6 0.6 2.0 9.2 8.6 14.0 12.6 10.6
37 2 7 8.0 7.2 6.6 12.4 3.6 9.0 14.6
37 2 8 1.0 2.8 17.4 3.4 20.0 10.6 8.0
37 2 9 7.6 17.6 13.2 9.2 12.0 9.2 10.6
37 2 10 6.2 11.4 12.0 5.2 16.6 12.8 3.2
37 2 11 1.2 16.0 0.2 19.4 4.8 11.4 6.2
37 2 12 5.6 1.4 17.2 11.2 10.0 14.2 10.0
